opportunity_id,account_id,rep_id,opportunity_name,stage,product_id,amount,probability,expected_revenue,close_date,created_date,last_modified_date,days_in_stage,previous_stage,lead_source
OPP-3010,ACC-2002,REP-1005,Persistent bottom-line framework - Cloud Connect,Prospecting,PROD-004,19164.25,10,1916.42,2025-12-27 15:22:33.811264,2025-11-11 15:22:00,2025-11-11 15:22:33.811601,20,,Cold Call
OPP-3011,ACC-2012,REP-1002,Grass-roots local knowledgebase - Fiber Internet,Prospecting,PROD-001,48803.72,10,4880.37,2026-01-18 15:22:33.811769,2025-11-11 15:22:29,2025-11-11 15:22:33.812113,38,,Cold Call
OPP-3012,ACC-2050,REP-1006,Centralized methodical hub - Ethernet,Proposal,PROD-003,5957.49,50,2978.74,2025-12-25 15:22:33.812291,2025-11-11 15:18:38,2025-11-11 15:22:33.812609,27,Qualification,Cold Call
OPP-3013,ACC-2051,REP-1000,Ameliorated zero administration benchmark - Ethernet,Closed Won,PROD-003,1242.59,100,1242.59,2026-01-19 15:21:13.000000,2025-11-11 15:21:13,2025-11-11 15:22:33.813097,56,Negotiation,Website
OPP-3014,ACC-2075,REP-1005,User-centric transitional forecast - Managed Services,Prospecting,PROD-005,56996.36,10,5699.64,2025-12-10 15:22:33.813269,2025-11-11 15:17:07,2025-11-11 15:22:33.813582,33,,Trade Show
OPP-3015,ACC-2039,REP-1006,Upgradable encompassing access - Ethernet,Negotiation,PROD-003,27661.88,75,20746.41,2026-01-30 15:22:33.813741,2025-11-11 15:18:14,2025-11-11 15:22:33.814159,57,Proposal,Website
OPP-3016,ACC-2015,REP-1006,Ergonomic leadingedge focus group - Fiber Internet,Prospecting,PROD-001,22269.23,10,2226.92,2026-02-02 15:22:33.814350,2025-11-11 15:19:32,2025-11-11 15:22:33.814682,42,,Referral
OPP-3017,ACC-2089,REP-1002,Fully-configurable homogeneous knowledgebase - Cloud Connect,Proposal,PROD-004,8516.87,50,4258.44,2026-02-05 15:22:33.814864,2025-11-11 15:21:56,2025-11-11 15:22:33.815233,39,Qualification,Cold Call
OPP-3018,ACC-2054,REP-1001,Programmable optimal encoding - Fiber Internet,Prospecting,PROD-001,12782.69,10,1278.27,2025-12-25 15:22:33.815397,2025-11-11 15:22:03,2025-11-11 15:22:33.815739,22,,Trade Show
OPP-3019,ACC-2045,REP-1000,Implemented human-resource software - Managed Services,Proposal,PROD-005,42521.71,50,21260.85,2026-01-05 15:22:33.815928,2025-11-11 15:16:33,2025-11-11 15:22:33.816264,53,Qualification,Trade Show
OPP-3020,ACC-2000,REP-1003,Reduced value-added matrix - Dark Fiber,Proposal,PROD-002,28014.34,50,14007.17,2025-12-30 15:22:33.816448,2025-11-11 15:22:29,2025-11-11 15:22:33.816765,32,Qualification,Website
OPP-3021,ACC-2013,REP-1007,Open-architected cohesive pricing structure - Ethernet,Prospecting,PROD-003,4763.1,10,476.31,2026-01-24 15:22:33.816925,2025-11-11 15:18:51,2025-11-11 15:22:33.817230,15,,Referral
OPP-3022,ACC-2054,REP-1002,Re-contextualized heuristic protocol - Fiber Internet,Proposal,PROD-001,26913.38,50,13456.69,2025-12-13 15:22:33.817389,2025-11-11 15:22:19,2025-11-11 15:22:33.817687,23,Qualification,Cold Call
OPP-3023,ACC-2011,REP-1001,Versatile tangible definition - Ethernet,Proposal,PROD-003,6359.22,50,3179.61,2025-12-16 15:22:33.817842,2025-11-11 15:21:42,2025-11-11 15:22:33.818159,24,Qualification,Referral
OPP-3024,ACC-2008,REP-1000,Synchronized uniform database - Ethernet,Qualification,PROD-003,7682.49,25,1920.62,2025-12-25 15:22:33.818331,2025-11-11 15:21:53,2025-11-11 15:22:33.818641,31,Prospecting,Website
OPP-3025,ACC-2080,REP-1005,Function-based 24/7 collaboration - Managed Services,Qualification,PROD-005,8140.49,25,2035.12,2026-01-27 15:22:33.818796,2025-11-11 15:20:42,2025-11-11 15:22:33.819099,11,Prospecting,Website
OPP-3026,ACC-2030,REP-1005,Compatible holistic Local Area Network - Managed Services,Closed Won,PROD-005,23491.78,100,23491.78,2026-02-06 15:18:57.000000,2025-11-11 15:18:57,2025-11-11 15:22:33.819578,35,Negotiation,Referral
OPP-3027,ACC-2048,REP-1005,Synergized 24/7 installation - Cloud Connect,Proposal,PROD-004,30182.18,50,15091.09,2026-02-01 15:22:33.819743,2025-11-11 15:21:51,2025-11-11 15:22:33.820074,42,Qualification,Website
OPP-3028,ACC-2074,REP-1004,Total reciprocal groupware - Dark Fiber,Qualification,PROD-002,245119.95,25,61279.99,2025-12-16 15:22:33.820252,2025-11-11 15:20:03,2025-11-11 15:22:33.820582,48,Prospecting,Partner
OPP-3029,ACC-2098,REP-1007,Programmable interactive application - Ethernet,Closed Won,PROD-003,20683.9,100,20683.9,2026-01-07 15:22:29.000000,2025-11-11 15:22:29,2025-11-11 15:22:33.821060,61,Negotiation,Trade Show
OPP-3030,ACC-2092,REP-1007,Open-source eco-centric installation - Dark Fiber,Closed Lost,PROD-002,83590.27,0,0.0,2026-02-12 15:17:42.000000,2025-11-11 15:17:42,2025-11-11 15:22:33.821607,56,Closed Won,Referral
OPP-3031,ACC-2072,REP-1003,Innovative value-added monitoring - Fiber Internet,Closed Won,PROD-001,12602.94,100,12602.94,2026-01-24 15:21:53.000000,2025-11-11 15:21:53,2025-11-11 15:22:33.822091,43,Negotiation,Referral
OPP-3032,ACC-2064,REP-1003,Switchable modular parallelism - Managed Services,Closed Won,PROD-005,86020.77,100,86020.77,2026-02-03 15:17:22.000000,2025-11-11 15:17:22,2025-11-11 15:22:33.822606,34,Negotiation,Referral
OPP-3033,ACC-2045,REP-1004,Assimilated systemic capacity - Managed Services,Closed Won,PROD-005,12584.6,100,12584.6,2026-02-25 15:21:04.000000,2025-11-11 15:21:04,2025-11-11 15:22:33.823073,31,Negotiation,Website
OPP-3034,ACC-2063,REP-1000,Total human-resource concept - Fiber Internet,Prospecting,PROD-001,30837.87,10,3083.79,2025-11-29 15:22:33.823227,2025-11-11 15:22:04,2025-11-11 15:22:33.823523,33,,Cold Call
OPP-3035,ACC-2018,REP-1006,Face-to-face impactful synergy - Ethernet,Negotiation,PROD-003,16744.29,75,12558.22,2026-01-10 15:22:33.823675,2025-11-11 15:17:53,2025-11-11 15:22:33.823970,47,Proposal,Trade Show
OPP-3036,ACC-2065,REP-1001,Enterprise-wide composite concept - Dark Fiber,Negotiation,PROD-002,11957.79,75,8968.34,2026-01-11 15:22:33.824124,2025-11-11 15:17:45,2025-11-11 15:22:33.824435,20,Proposal,Referral
OPP-3037,ACC-2013,REP-1000,Fundamental discrete system engine - Managed Services,Qualification,PROD-005,23504.03,25,5876.01,2025-12-19 15:22:33.824590,2025-11-11 15:18:42,2025-11-11 15:22:33.824891,19,Prospecting,Website
OPP-3038,ACC-2070,REP-1006,Customizable multimedia capacity - Cloud Connect,Qualification,PROD-004,15744.35,25,3936.09,2025-12-05 15:22:33.825043,2025-11-11 15:17:34,2025-11-11 15:22:33.825338,27,Prospecting,Website
OPP-3039,ACC-2007,REP-1004,Object-based asymmetric approach - Cloud Connect,Closed Won,PROD-004,32421.87,100,32421.87,2026-03-07 15:19:01.000000,2025-11-11 15:19:01,2025-11-11 15:22:33.825802,37,Negotiation,Referral
OPP-3040,ACC-2076,REP-1002,Total object-oriented Internet solution - Dark Fiber,Prospecting,PROD-002,20557.91,10,2055.79,2026-01-09 15:22:33.825964,2025-11-11 15:22:01,2025-11-11 15:22:33.826276,19,,Trade Show
OPP-3041,ACC-2068,REP-1004,Total encompassing forecast - Cloud Connect,Qualification,PROD-004,9347.06,25,2336.76,2025-12-30 15:22:33.826435,2025-11-11 15:20:46,2025-11-11 15:22:33.826740,24,Prospecting,Referral
OPP-3042,ACC-2084,REP-1002,Realigned tertiary database - Cloud Connect,Prospecting,PROD-004,39284.96,10,3928.5,2025-12-17 15:22:33.826899,2025-11-11 15:22:07,2025-11-11 15:22:33.827215,26,,Referral
OPP-3043,ACC-2081,REP-1007,Function-based real-time focus group - Fiber Internet,Qualification,PROD-001,13824.0,25,3456.0,2025-12-17 15:22:33.827385,2025-11-11 15:19:12,2025-11-11 15:22:33.827701,11,Prospecting,Cold Call
OPP-3044,ACC-2025,REP-1000,Multi-layered high-level intranet - Ethernet,Closed Won,PROD-003,2594.39,100,2594.39,2026-02-02 15:18:41.000000,2025-11-11 15:18:41,2025-11-11 15:22:33.828165,60,Negotiation,Cold Call
OPP-3045,ACC-2082,REP-1003,Re-contextualized impactful frame - Cloud Connect,Qualification,PROD-004,1682.28,25,420.57,2026-01-24 15:22:33.828328,2025-11-11 15:21:42,2025-11-11 15:22:33.828679,28,Prospecting,Partner
OPP-3046,ACC-2068,REP-1004,Decentralized dynamic focus group - Dark Fiber,Qualification,PROD-002,147202.21,25,36800.55,2026-02-06 15:22:33.828836,2025-11-11 15:22:11,2025-11-11 15:22:33.829137,11,Prospecting,Partner
OPP-3047,ACC-2067,REP-1002,Polarized systemic product - Ethernet,Qualification,PROD-003,4861.95,25,1215.49,2026-01-04 15:22:33.829292,2025-11-11 15:19:21,2025-11-11 15:22:33.829619,25,Prospecting,Website
OPP-3048,ACC-2031,REP-1004,Enterprise-wide incremental superstructure - Fiber Internet,Prospecting,PROD-001,13556.65,10,1355.67,2025-12-16 15:22:33.829772,2025-11-11 15:16:41,2025-11-11 15:22:33.830264,26,,Cold Call
OPP-3049,ACC-2071,REP-1004,Networked analyzing support - Fiber Internet,Prospecting,PROD-001,27568.21,10,2756.82,2026-01-22 15:22:33.830508,2025-11-11 15:19:49,2025-11-11 15:22:33.830836,8,,Cold Call
OPP-3050,ACC-2071,REP-1004,Fundamental static focus group - Cloud Connect,Prospecting,PROD-004,44364.22,10,4436.42,2025-12-22 15:22:33.831010,2025-11-11 15:17:04,2025-11-11 15:22:33.831318,6,,Partner
OPP-3051,ACC-2004,REP-1006,Cloned national forecast - Ethernet,Qualification,PROD-003,11909.59,25,2977.4,2025-12-28 15:22:33.831472,2025-11-11 15:16:44,2025-11-11 15:22:33.831795,12,Prospecting,Cold Call
OPP-3052,ACC-2058,REP-1007,Ameliorated bottom-line time-frame - Managed Services,Qualification,PROD-005,50873.72,25,12718.43,2026-01-28 15:22:33.831964,2025-11-11 15:20:16,2025-11-11 15:22:33.832288,47,Prospecting,Partner
OPP-3053,ACC-2077,REP-1000,Reverse-engineered actuating info-mediaries - Managed Services,Prospecting,PROD-005,49449.86,10,4944.99,2026-01-01 15:22:33.832460,2025-11-11 15:22:15,2025-11-11 15:22:33.832770,37,,Partner
OPP-3054,ACC-2094,REP-1002,Assimilated dynamic focus group - Managed Services,Prospecting,PROD-005,68713.74,10,6871.37,2026-02-01 15:22:33.832924,2025-11-11 15:20:12,2025-11-11 15:22:33.833241,38,,Website
OPP-3055,ACC-2071,REP-1002,Fully-configurable cohesive groupware - Ethernet,Negotiation,PROD-003,4393.66,75,3295.25,2026-01-05 15:22:33.833405,2025-11-11 15:20:38,2025-11-11 15:22:33.833721,25,Proposal,Website
OPP-3056,ACC-2039,REP-1007,Up-sized global framework - Dark Fiber,Proposal,PROD-002,52782.93,50,26391.46,2026-01-19 15:22:33.833894,2025-11-11 15:20:21,2025-11-11 15:22:33.834237,31,Qualification,Partner
OPP-3057,ACC-2072,REP-1006,Reverse-engineered non-volatile firmware - Managed Services,Proposal,PROD-005,11320.44,50,5660.22,2025-12-19 15:22:33.834421,2025-11-11 15:19:51,2025-11-11 15:22:33.834745,37,Qualification,Referral
OPP-3058,ACC-2025,REP-1006,Reverse-engineered multi-tasking Internet solution - Cloud Connect,Qualification,PROD-004,46712.81,25,11678.2,2025-12-25 15:22:33.834914,2025-11-11 15:21:11,2025-11-11 15:22:33.835268,43,Prospecting,Website
OPP-3059,ACC-2023,REP-1007,Multi-layered reciprocal projection - Ethernet,Closed Won,PROD-003,8592.01,100,8592.01,2026-03-03 15:22:14.000000,2025-11-11 15:22:14,2025-11-11 15:22:33.835758,42,Negotiation,Cold Call
OPP-3060,ACC-2040,REP-1007,Public-key optimizing website - Cloud Connect,Proposal,PROD-004,2247.63,50,1123.81,2025-12-13 15:22:33.835937,2025-11-11 15:18:55,2025-11-11 15:22:33.836257,34,Qualification,Website
OPP-3061,ACC-2044,REP-1004,Switchable systemic challenge - Fiber Internet,Negotiation,PROD-001,22038.94,75,16529.21,2025-12-29 15:22:33.836434,2025-11-11 15:19:50,2025-11-11 15:22:33.836750,25,Proposal,Cold Call
OPP-3062,ACC-2077,REP-1001,Advanced contextually-based function - Fiber Internet,Proposal,PROD-001,39457.96,50,19728.98,2025-12-12 15:22:33.836914,2025-11-11 15:22:20,2025-11-11 15:22:33.837215,52,Qualification,Trade Show
OPP-3063,ACC-2071,REP-1007,Ameliorated exuding artificial intelligence - Managed Services,Qualification,PROD-005,8282.2,25,2070.55,2025-12-10 15:22:33.837371,2025-11-11 15:20:06,2025-11-11 15:22:33.837678,16,Prospecting,Cold Call
OPP-3064,ACC-2039,REP-1002,Diverse object-oriented customer loyalty - Fiber Internet,Proposal,PROD-001,56698.9,50,28349.45,2025-12-26 15:22:33.837830,2025-11-11 15:21:13,2025-11-11 15:22:33.838140,54,Qualification,Referral
OPP-3065,ACC-2007,REP-1002,Phased scalable initiative - Ethernet,Qualification,PROD-003,21235.32,25,5308.83,2025-12-14 15:22:33.838313,2025-11-11 15:21:26,2025-11-11 15:22:33.838613,42,Prospecting,Trade Show
OPP-3066,ACC-2039,REP-1005,Open-source context-sensitive moderator - Cloud Connect,Proposal,PROD-004,7786.13,50,3893.06,2025-12-30 15:22:33.838767,2025-11-11 15:19:15,2025-11-11 15:22:33.839062,32,Qualification,Referral
OPP-3067,ACC-2072,REP-1003,Proactive optimizing encoding - Fiber Internet,Proposal,PROD-001,14100.93,50,7050.46,2026-01-19 15:22:33.839214,2025-11-11 15:21:45,2025-11-11 15:22:33.839518,17,Qualification,Cold Call
OPP-3068,ACC-2017,REP-1002,Automated 4thgeneration system engine - Managed Services,Qualification,PROD-005,24522.23,25,6130.56,2025-12-04 15:22:33.839682,2025-11-11 15:21:48,2025-11-11 15:22:33.839993,38,Prospecting,Website
OPP-3069,ACC-2031,REP-1003,Distributed non-volatile data-warehouse - Cloud Connect,Qualification,PROD-004,28636.35,25,7159.09,2025-12-23 15:22:33.840147,2025-11-11 15:20:43,2025-11-11 15:22:33.840466,47,Prospecting,Referral
OPP-3070,ACC-2002,REP-1007,Proactive neutral support - Managed Services,Qualification,PROD-005,29208.17,25,7302.04,2025-12-31 15:22:33.840624,2025-11-11 15:19:24,2025-11-11 15:22:33.840958,41,Prospecting,Partner
OPP-3071,ACC-2062,REP-1007,Decentralized value-added algorithm - Ethernet,Proposal,PROD-003,14032.74,50,7016.37,2026-01-22 15:22:33.841113,2025-11-11 15:20:25,2025-11-11 15:22:33.841412,39,Qualification,Cold Call
OPP-3072,ACC-2089,REP-1006,Object-based methodical definition - Fiber Internet,Qualification,PROD-001,53468.11,25,13367.03,2025-12-28 15:22:33.841584,2025-11-11 15:17:24,2025-11-11 15:22:33.841893,28,Prospecting,Trade Show
OPP-3073,ACC-2097,REP-1007,Phased motivating system engine - Managed Services,Proposal,PROD-005,2745.64,50,1372.82,2026-01-28 15:22:33.842054,2025-11-11 15:20:24,2025-11-11 15:22:33.842379,46,Qualification,Partner
OPP-3074,ACC-2064,REP-1003,Organic reciprocal model - Ethernet,Qualification,PROD-003,2710.49,25,677.62,2025-12-10 15:22:33.842554,2025-11-11 15:17:28,2025-11-11 15:22:33.842859,45,Prospecting,Referral
OPP-3075,ACC-2092,REP-1005,Fundamental intangible support - Managed Services,Proposal,PROD-005,6022.47,50,3011.23,2025-12-09 15:22:33.843013,2025-11-11 15:17:03,2025-11-11 15:22:33.843324,54,Qualification,Cold Call
OPP-3076,ACC-2021,REP-1006,Automated exuding task-force - Ethernet,Proposal,PROD-003,5823.79,50,2911.89,2025-12-01 15:22:33.843488,2025-11-11 15:19:58,2025-11-11 15:22:33.843789,41,Qualification,Partner
OPP-3077,ACC-2065,REP-1007,Stand-alone 24hour toolset - Cloud Connect,Qualification,PROD-004,10444.07,25,2611.02,2026-01-19 15:22:33.843946,2025-11-11 15:20:16,2025-11-11 15:22:33.844252,17,Prospecting,Referral
OPP-3078,ACC-2094,REP-1002,Function-based upward-trending initiative - Dark Fiber,Proposal,PROD-002,292761.69,50,146380.84,2026-02-06 15:22:33.844423,2025-11-11 15:18:54,2025-11-11 15:22:33.844720,48,Qualification,Referral
OPP-3079,ACC-2013,REP-1006,Customer-focused content-based implementation - Dark Fiber,Negotiation,PROD-002,259745.13,75,194808.84,2026-01-10 15:22:33.844872,2025-11-11 15:19:22,2025-11-11 15:22:33.845175,41,Proposal,Referral
OPP-3080,ACC-2063,REP-1003,Configurable fresh-thinking knowledge user - Fiber Internet,Prospecting,PROD-001,5147.48,10,514.75,2025-12-11 15:22:33.845330,2025-11-11 15:18:31,2025-11-11 15:22:33.845787,43,,Referral
OPP-3081,ACC-2015,REP-1000,Sharable mobile implementation - Fiber Internet,Closed Lost,PROD-001,1432.02,0,0.0,2026-01-19 15:20:43.000000,2025-11-11 15:20:43,2025-11-11 15:22:33.846405,50,Closed Won,Partner
OPP-3082,ACC-2010,REP-1007,Front-line human-resource circuit - Dark Fiber,Negotiation,PROD-002,40808.47,75,30606.35,2026-01-22 15:22:33.846612,2025-11-11 15:22:24,2025-11-11 15:22:33.847042,58,Proposal,Website
OPP-3083,ACC-2046,REP-1005,Proactive dynamic hardware - Managed Services,Qualification,PROD-005,54583.49,25,13645.87,2026-01-26 15:22:33.847273,2025-11-11 15:22:16,2025-11-11 15:22:33.847641,38,Prospecting,Partner
OPP-3084,ACC-2023,REP-1007,Synergistic empowering solution - Fiber Internet,Prospecting,PROD-001,10562.3,10,1056.23,2026-01-02 15:22:33.847802,2025-11-11 15:20:41,2025-11-11 15:22:33.848131,15,,Trade Show
OPP-3085,ACC-2058,REP-1004,Vision-oriented bottom-line paradigm - Cloud Connect,Qualification,PROD-004,24642.83,25,6160.71,2025-12-06 15:22:33.848292,2025-11-11 15:20:32,2025-11-11 15:22:33.848662,29,Prospecting,Referral
OPP-3086,ACC-2058,REP-1004,Organized maximized application - Cloud Connect,Prospecting,PROD-004,8166.72,10,816.67,2026-01-21 15:22:33.848830,2025-11-11 15:17:05,2025-11-11 15:22:33.849160,31,,Website
OPP-3087,ACC-2093,REP-1000,Reactive tangible intranet - Ethernet,Closed Won,PROD-003,3482.89,100,3482.89,2026-03-10 15:21:53.000000,2025-11-11 15:21:53,2025-11-11 15:22:33.849630,41,Negotiation,Website
OPP-3088,ACC-2082,REP-1004,Implemented solution-oriented service-desk - Cloud Connect,Negotiation,PROD-004,67026.82,75,50270.11,2026-01-02 15:22:33.849785,2025-11-11 15:16:36,2025-11-11 15:22:33.850095,45,Proposal,Referral
OPP-3089,ACC-2034,REP-1007,Fundamental methodical website - Managed Services,Prospecting,PROD-005,120240.12,10,12024.01,2025-12-10 15:22:33.850253,2025-11-11 15:20:26,2025-11-11 15:22:33.850574,6,,Partner
OPP-3090,ACC-2009,REP-1007,Centralized disintermediate flexibility - Ethernet,Qualification,PROD-003,17519.01,25,4379.75,2026-01-25 15:22:33.850751,2025-11-11 15:21:16,2025-11-11 15:22:33.851077,24,Prospecting,Partner
OPP-3091,ACC-2088,REP-1003,Enterprise-wide reciprocal protocol - Cloud Connect,Prospecting,PROD-004,25507.73,10,2550.77,2026-01-19 15:22:33.851232,2025-11-11 15:21:35,2025-11-11 15:22:33.851539,16,,Website
OPP-3092,ACC-2034,REP-1000,Multi-lateral coherent customer loyalty - Managed Services,Qualification,PROD-005,16168.49,25,4042.12,2026-01-16 15:22:33.851698,2025-11-11 15:19:09,2025-11-11 15:22:33.852005,43,Prospecting,Trade Show
OPP-3093,ACC-2065,REP-1005,De-engineered human-resource concept - Managed Services,Proposal,PROD-005,51213.65,50,25606.82,2025-12-22 15:22:33.852166,2025-11-11 15:21:29,2025-11-11 15:22:33.852480,18,Qualification,Partner
OPP-3094,ACC-2013,REP-1006,Total well-modulated interface - Managed Services,Proposal,PROD-005,6096.17,50,3048.09,2026-01-25 15:22:33.852636,2025-11-11 15:17:06,2025-11-11 15:22:33.852942,37,Qualification,Trade Show
OPP-3095,ACC-2084,REP-1004,Cloned real-time collaboration - Fiber Internet,Proposal,PROD-001,8511.76,50,4255.88,2025-12-18 15:22:33.853099,2025-11-11 15:16:50,2025-11-11 15:22:33.853416,41,Qualification,Partner
OPP-3096,ACC-2095,REP-1003,Automated upward-trending productivity - Dark Fiber,Qualification,PROD-002,28084.97,25,7021.24,2025-11-29 15:22:33.853572,2025-11-11 15:18:11,2025-11-11 15:22:33.853868,12,Prospecting,Partner
OPP-3097,ACC-2047,REP-1004,Public-key grid-enabled customer loyalty - Fiber Internet,Qualification,PROD-001,22073.71,25,5518.43,2026-01-02 15:22:33.854019,2025-11-11 15:20:37,2025-11-11 15:22:33.854334,35,Prospecting,Referral
OPP-3098,ACC-2087,REP-1004,Realigned zero administration methodology - Managed Services,Negotiation,PROD-005,68618.63,75,51463.97,2026-01-19 15:22:33.854497,2025-11-11 15:22:09,2025-11-11 15:22:33.854797,48,Proposal,Trade Show
OPP-3099,ACC-2092,REP-1006,User-friendly composite implementation - Managed Services,Qualification,PROD-005,40794.73,25,10198.68,2025-12-28 15:22:33.854950,2025-11-11 15:19:46,2025-11-11 15:22:33.855245,46,Prospecting,Referral
OPP-3100,ACC-2046,REP-1007,Expanded dynamic service-desk - Managed Services,Negotiation,PROD-005,86965.67,75,65224.25,2025-12-06 15:22:33.855395,2025-11-11 15:18:10,2025-11-11 15:22:33.855723,58,Proposal,Cold Call
OPP-3101,ACC-2049,REP-1002,Seamless multimedia Graphic Interface - Cloud Connect,Negotiation,PROD-004,61295.04,75,45971.28,2025-12-06 15:22:33.855885,2025-11-11 15:16:52,2025-11-11 15:22:33.856207,51,Proposal,Partner
OPP-3102,ACC-2081,REP-1006,Fundamental next generation moderator - Dark Fiber,Qualification,PROD-002,113788.87,25,28447.22,2025-12-04 15:22:33.856367,2025-11-11 15:16:45,2025-11-11 15:22:33.856673,16,Prospecting,Referral
OPP-3103,ACC-2001,REP-1002,Digitized bifurcated complexity - Ethernet,Qualification,PROD-003,6454.09,25,1613.52,2026-01-02 15:22:33.856830,2025-11-11 15:21:25,2025-11-11 15:22:33.857156,37,Prospecting,Website
OPP-3104,ACC-2029,REP-1003,Programmable methodical productivity - Ethernet,Negotiation,PROD-003,4934.13,75,3700.6,2026-01-19 15:22:33.857340,2025-11-11 15:18:32,2025-11-11 15:22:33.857654,32,Proposal,Referral
OPP-3105,ACC-2032,REP-1002,Decentralized bi-directional hierarchy - Dark Fiber,Qualification,PROD-002,219228.71,25,54807.18,2025-12-10 15:22:33.857823,2025-11-11 15:19:53,2025-11-11 15:22:33.858152,44,Prospecting,Cold Call
OPP-3106,ACC-2008,REP-1007,Grass-roots regional application - Managed Services,Closed Won,PROD-005,94280.31,100,94280.31,2026-02-01 15:16:47.000000,2025-11-11 15:16:47,2025-11-11 15:22:33.858640,25,Negotiation,Website
OPP-3107,ACC-2073,REP-1007,Monitored maximized support - Ethernet,Prospecting,PROD-003,13315.21,10,1331.52,2026-01-31 15:22:33.858792,2025-11-11 15:21:06,2025-11-11 15:22:33.859091,11,,Referral
OPP-3108,ACC-2084,REP-1000,Right-sized cohesive hub - Ethernet,Qualification,PROD-003,11594.55,25,2898.64,2026-01-11 15:22:33.859243,2025-11-11 15:21:57,2025-11-11 15:22:33.859539,17,Prospecting,Referral
OPP-3109,ACC-2026,REP-1006,Open-architected actuating structure - Cloud Connect,Negotiation,PROD-004,17873.58,75,13405.18,2025-11-30 15:22:33.859691,2025-11-11 15:19:42,2025-11-11 15:22:33.859997,58,Proposal,Website
OPP-3110,ACC-2046,REP-1002,Digitized high-level challenge - Cloud Connect,Qualification,PROD-004,12191.7,25,3047.93,2025-12-10 15:22:33.860158,2025-11-11 15:16:59,2025-11-11 15:22:33.860491,40,Prospecting,Cold Call
OPP-3111,ACC-2010,REP-1006,Customer-focused grid-enabled monitoring - Ethernet,Proposal,PROD-003,12430.3,50,6215.15,2025-12-16 15:22:33.860650,2025-11-11 15:19:38,2025-11-11 15:22:33.860960,36,Qualification,Trade Show
OPP-3112,ACC-2079,REP-1006,Grass-roots holistic moratorium - Managed Services,Prospecting,PROD-005,8348.11,10,834.81,2026-01-03 15:22:33.861116,2025-11-11 15:19:05,2025-11-11 15:22:33.861452,36,,Trade Show
OPP-3113,ACC-2015,REP-1002,Re-contextualized responsive initiative - Ethernet,Qualification,PROD-003,18512.0,25,4628.0,2026-01-12 15:22:33.861820,2025-11-11 15:19:39,2025-11-11 15:22:33.862245,12,Prospecting,Partner
OPP-3114,ACC-2019,REP-1007,Grass-roots impactful attitude - Dark Fiber,Closed Won,PROD-002,179500.89,100,179500.89,2026-01-17 15:22:27.000000,2025-11-11 15:22:27,2025-11-11 15:22:33.862850,61,Negotiation,Website
OPP-3115,ACC-2068,REP-1003,Streamlined maximized policy - Managed Services,Closed Won,PROD-005,4745.11,100,4745.11,2026-01-21 15:22:09.000000,2025-11-11 15:22:09,2025-11-11 15:22:33.863394,51,Negotiation,Partner
